Year,State,"No. of Private Hospitals, Nursing and Maternity Homes",No. of Beds
2000,Johor,35,784
2000,Kedah,14,379
2000,Kelantan,2,63
2000,Melaka,7,673
2000,Negeri Sembilan,7,177
2000,Pahang,8,143
2000,Perak,15,757
2000,Perlis,0,0
2000,Pulau Pinang,23,1644
2000,Sabah,11,221
2000,Sarawak,9,319
2000,Selangor,48,2012
2000,Terengganu,2,17
2000,W.P. Kuala Lumpur,43,2358
2000,W.P. Labuan,0,0
2000,W.P. Putrajaya,0,0
2001,Johor,35,770
2001,Kedah,16,395
2001,Kelantan,2,63
2001,Melaka,6,619
2001,Negeri Sembilan,6,181
2001,Pahang,8,143
2001,Perak,16,763
2001,Perlis,0,0
2001,Pulau Pinang,24,1798
2001,Sabah,11,227
2001,Sarawak,9,319
2001,Selangor,47,2259
2001,Terengganu,2,17
2001,W.P. Kuala Lumpur,42,2395
2001,W.P. Labuan,0,0
2001,W.P. Putrajaya,0,0
2002,Johor,35,769
2002,Kedah,15,386
2002,Kelantan,3,93
2002,Melaka,5,612
2002,Negeri Sembilan,5,173
2002,Pahang,8,143
2002,Perak,16,763
2002,Perlis,0,0
2002,Pulau Pinang,22,1776
2002,Sabah,10,219
2002,Sarawak,9,337
2002,Selangor,44,2242
2002,Terengganu,2,17
2002,W.P. Kuala Lumpur,37,2319
2002,W.P. Labuan,0,0
2002,W.P. Putrajaya,0,0
2003,Johor,33,838
2003,Kedah,14,377
2003,Kelantan,3,95
2003,Melaka,5,708
2003,Negeri Sembilan,5,122
2003,Pahang,10,216
2003,Perak,16,740
2003,Perlis,1,2
2003,Pulau Pinang,23,2040
2003,Sabah,11,227
2003,Sarawak,9,346
2003,Selangor,46,2337
2003,Terengganu,2,17
2003,W.P. Kuala Lumpur,40,2330
2003,W.P. Labuan,1,10
2003,W.P. Putrajaya,0,0
2004,Johor,30,804
2004,Kedah,12,425
2004,Kelantan,3,117
2004,Melaka,5,760
2004,Negeri Sembilan,4,170
2004,Pahang,10,216
2004,Perak,17,780
2004,Perlis,1,2
2004,Pulau Pinang,24,1953
2004,Sabah,11,163
2004,Sarawak,10,389
2004,Selangor,46,2384
2004,Terengganu,2,17
2004,W.P. Kuala Lumpur,42,2352
2004,W.P. Labuan,1,10
2004,W.P. Putrajaya,0,0
2005,Johor,31,794
2005,Kedah,14,482
2005,Kelantan,3,117
2005,Melaka,5,756
2005,Negeri Sembilan,5,224
2005,Pahang,10,208
2005,Perak,16,779
2005,Perlis,1,2
2005,Pulau Pinang,24,1962
2005,Sabah,10,165
2005,Sarawak,9,357
2005,Selangor,47,2405
2005,Terengganu,3,22
2005,W.P. Kuala Lumpur,44,2521
2005,W.P. Labuan,0,0
2005,W.P. Putrajaya,0,0
2006,Johor,36,998
2006,Kedah,12,463
2006,Kelantan,3,117
2006,Melaka,5,797
2006,Negeri Sembilan,5,216
2006,Pahang,10,213
2006,Perak,15,768
2006,Perlis,1,2
2006,Pulau Pinang,26,1968
2006,Sabah,10,312
2006,Sarawak,11,439
2006,Selangor,51,2583
2006,Terengganu,3,30
2006,W.P. Kuala Lumpur,44,2731
2006,W.P. Labuan,0,0
2006,W.P. Putrajaya,0,0
2007,Johor,35,1007
2007,Kedah,12,463
2007,Kelantan,3,114
2007,Melaka,5,801
2007,Negeri Sembilan,6,304
2007,Pahang,9,209
2007,Perak,15,818
2007,Perlis,1,2
2007,Pulau Pinang,25,1921
2007,Sabah,9,291
2007,Sarawak,11,431
2007,Selangor,52,2807
2007,Terengganu,3,31
2007,W.P. Kuala Lumpur,43,2523
2007,W.P. Labuan,0,0
2007,W.P. Putrajaya,0,0
2008,Johor,38,1059
2008,Kedah,11,433
2008,Kelantan,3,114
2008,Melaka,5,801
2008,Negeri Sembilan,7,330
2008,Pahang,10,210
2008,Perak,16,857
2008,Perlis,1,2
2008,Pulau Pinang,26,1937
2008,Sabah,8,277
2008,Sarawak,13,497
2008,Selangor,60,2993
2008,Terengganu,3,31
2008,W.P. Kuala Lumpur,45,2624
2008,W.P. Labuan,0,0
2008,W.P. Putrajaya,0,0
2009,Johor,37,1070
2009,Kedah,10,437
2009,Kelantan,4,150
2009,Melaka,5,819
2009,Negeri Sembilan,8,393
2009,Pahang,9,201
2009,Perak,14,758
2009,Perlis,1,2
2009,Pulau Pinang,27,2084
2009,Sabah,7,278
2009,Sarawak,14,541
2009,Selangor,62,3063
2009,Terengganu,3,31
2009,W.P. Kuala Lumpur,44,2792
2009,W.P. Labuan,0,0
2009,W.P. Putrajaya,0,0
2010,Johor,37,1110
2010,Kedah,10,524
2010,Kelantan,5,173
2010,Melaka,5,819
2010,Negeri Sembilan,9,439
2010,Pahang,9,213
2010,Perak,15,906
2010,Perlis,1,2
2010,Pulau Pinang,26,2053
2010,Sabah,7,277
2010,Sarawak,17,587
2010,Selangor,65,3321
2010,Terengganu,3,31
2010,W.P. Kuala Lumpur,45,3121
2010,W.P. Labuan,0,0
2010,W.P. Putrajaya,0,0
2011,Johor,38,1084
2011,Kedah,10,524
2011,Kelantan,5,173
2011,Melaka,4,813
2011,Negeri Sembilan,10,484
2011,Pahang,10,269
2011,Perak,16,994
2011,Perlis,1,2
2011,Pulau Pinang,27,2058
2011,Sabah,7,277
2011,Sarawak,16,621
2011,Selangor,68,3627
2011,Terengganu,3,30
2011,W.P. Kuala Lumpur,48,3117
2011,W.P. Labuan,0,0
2011,W.P. Putrajaya,0,0
2012,Johor,37,1118
2012,Kedah,10,534
2012,Kelantan,5,173
2012,Melaka,4,827
2012,Negeri Sembilan,10,524
2012,Pahang,10,327
2012,Perak,16,1033
2012,Perlis,0,0
2012,Pulau Pinang,26,2073
2012,Sabah,5,93
2012,Sarawak,14,594
2012,Selangor,67,3855
2012,Terengganu,3,30
2012,W.P. Kuala Lumpur,44,2984
2012,W.P. Labuan,0,0
2012,W.P. Putrajaya,0,0
2013,Johor,37,1299
2013,Kedah,10,544
2013,Kelantan,5,180
2013,Melaka,4,737
2013,Negeri Sembilan,9,525
2013,Pahang,10,277
2013,Perak,16,1037
2013,Perlis,0,0
2013,Pulau Pinang,26,2307
2013,Sabah,5,130
2013,Sarawak,16,677
2013,Selangor,67,3651
2013,Terengganu,3,28
2013,W.P. Kuala Lumpur,44,3210
2013,W.P. Labuan,0,0
2013,W.P. Putrajaya,0,0
2014,Johor,32,985
2014,Kedah,7,310
2014,Kelantan,5,180
2014,Melaka,4,800
2014,Negeri Sembilan,8,488
2014,Pahang,11,289
2014,Perak,19,1070
2014,Perlis,0,0
2014,Pulau Pinang,22,2206
2014,Sabah,5,196
2014,Sarawak,13,503
2014,Selangor,55,3468
2014,Terengganu,3,30
2014,W.P. Kuala Lumpur,39,3121
2014,W.P. Labuan,0,0
2014,W.P. Putrajaya,0,0
2015,Johor,33,1273
2015,Kedah,5,366
2015,Kelantan,1,44
2015,Melaka,5,795
2015,Negeri Sembilan,8,514
2015,Pahang,9,288
2015,Perak,18,1035
2015,Perlis,0,0
2015,Pulau Pinang,18,1655
2015,Sabah,7,314
2015,Sarawak,14,599
2015,Selangor,57,3564
2015,Terengganu,3,30
2015,W.P. Kuala Lumpur,38,3097
2015,W.P. Labuan,0,0
2015,W.P. Putrajaya,0,0
2016,Johor,32,1374
2016,Kedah,9,577
2016,Kelantan,3,177
2016,Melaka,5,844
2016,Negeri Sembilan,4,414
2016,Pahang,7,407
2016,Perak,16,1011
2016,Perlis,0,0
2016,Pulau Pinang,20,2187
2016,Sabah,4,169
2016,Sarawak,15,578
2016,Selangor,56,3625
2016,Terengganu,4,60
2016,W.P. Kuala Lumpur,41,3196
2016,W.P. Labuan,0,0
2016,W.P. Putrajaya,0,0
2017,Johor,33,1341
2017,Kedah,10,599
2017,Kelantan,5,181
2017,Melaka,5,849
2017,Negeri Sembilan,7,596
2017,Pahang,8,330
2017,Perak,19,963
2017,Perlis,0,0
2017,Pulau Pinang,21,2191
2017,Sabah,7,309
2017,Sarawak,16,757
2017,Selangor,62,4103
2017,Terengganu,4,60
2017,W.P. Kuala Lumpur,43,3287
2017,W.P. Labuan,0,0
2017,W.P. Putrajaya,0,0
2018,Johor,33,1341
2018,Kedah,10,599
2018,Kelantan,5,181
2018,Melaka,5,849
2018,Negeri Sembilan,7,596
2018,Pahang,8,330
2018,Perak,19,963
2018,Perlis,0,0
2018,Pulau Pinang,21,2191
2018,Sabah,7,309
2018,Sarawak,16,757
2018,Selangor,62,4103
2018,Terengganu,4,60
2018,W.P. Kuala Lumpur,43,3287
2018,W.P. Labuan,0,0
2018,W.P. Putrajaya,0,0
2019,Johor,34,1832
2019,Kedah,10,637
2019,Kelantan,6,190
2019,Melaka,5,937
2019,Negeri Sembilan,9,599
2019,Pahang,8,770
2019,Perak,18,1118
2019,Perlis,1,37
2019,Pulau Pinang,20,2202
2019,Sabah,7,276
2019,Sarawak,19,759
2019,Selangor,63,4629
2019,Terengganu,4,67
2019,W.P. Kuala Lumpur,46,3272
2019,W.P. Labuan,0,0
2019,W.P. Putrajaya,0,0
2020,Johor,31,1812
2020,Kedah,8,625
2020,Kelantan,5,178
2020,Melaka,4,911
2020,Negeri Sembilan,9,604
2020,Pahang,6,762
2020,Perak,17,1172
2020,Perlis,1,37
2020,Pulau Pinang,17,2177
2020,Sabah,9,359
2020,Sarawak,13,609
2020,Selangor,60,4612
2020,Terengganu,4,137
2020,W.P. Kuala Lumpur,35,3208
2020,W.P. Labuan,0,0
2020,W.P. Putrajaya,0,0
2021,Johor,37,2061
2021,Kedah,9,647
2021,Kelantan,5,178
2021,Melaka,5,945
2021,Negeri Sembilan,10,644
2021,Pahang,8,768
2021,Perak,21,1220
2021,Perlis,1,37
2021,Pulau Pinang,18,2192
2021,Sabah,9,359
2021,Sarawak,18,818
2021,Selangor,67,5116
2021,Terengganu,4,136
2021,W.P. Kuala Lumpur,42,3405
2021,W.P. Labuan,0,0
2021,W.P. Putrajaya,2,113
