Year,State,No. of Government Hospitals and Special Medical Institusions,No. of Beds
2000,Johor,11,4748
2000,Kedah,9,2067
2000,Kelantan,8,1614
2000,Melaka,3,835
2000,Negeri Sembilan,5,1327
2000,Pahang,9,1681
2000,Perak,15,6042
2000,Perlis,1,404
2000,Pulau Pinang,5,2011
2000,Sabah,18,3001
2000,Sarawak,21,3499
2000,Selangor,8,3441
2000,Terengganu,5,1182
2000,W.P. Kuala Lumpur,2,2618
2000,W.P. Labuan,1,109
2000,W.P. Putrajaya,0,0
2001,Johor,11,4748
2001,Kedah,9,2067
2001,Kelantan,8,1614
2001,Melaka,2,807
2001,Negeri Sembilan,5,1327
2001,Pahang,9,1703
2001,Perak,15,6058
2001,Perlis,1,404
2001,Pulau Pinang,5,1993
2001,Sabah,18,3001
2001,Sarawak,21,3499
2001,Selangor,8,3120
2001,Terengganu,5,1182
2001,W.P. Kuala Lumpur,2,2618
2001,W.P. Labuan,1,109
2001,W.P. Putrajaya,1,272
2002,Johor,11,4748
2002,Kedah,9,2067
2002,Kelantan,8,1614
2002,Melaka,2,807
2002,Negeri Sembilan,5,1327
2002,Pahang,10,1707
2002,Perak,15,6058
2002,Perlis,1,404
2002,Pulau Pinang,5,1993
2002,Sabah,18,3001
2002,Sarawak,21,3499
2002,Selangor,8,3162
2002,Terengganu,5,1242
2002,W.P. Kuala Lumpur,2,2514
2002,W.P. Labuan,1,109
2002,W.P. Putrajaya,1,272
2003,Johor,11,4748
2003,Kedah,9,2067
2003,Kelantan,8,1658
2003,Melaka,2,807
2003,Negeri Sembilan,5,1327
2003,Pahang,10,1708
2003,Perak,15,6058
2003,Perlis,1,404
2003,Pulau Pinang,6,1955
2003,Sabah,18,3033
2003,Sarawak,21,3499
2003,Selangor,8,2678
2003,Terengganu,5,1242
2003,W.P. Kuala Lumpur,2,2524
2003,W.P. Labuan,1,109
2003,W.P. Putrajaya,1,272
2004,Johor,11,4748
2004,Kedah,9,2097
2004,Kelantan,9,1682
2004,Melaka,2,824
2004,Negeri Sembilan,5,1327
2004,Pahang,10,1708
2004,Perak,15,6058
2004,Perlis,1,404
2004,Pulau Pinang,6,1955
2004,Sabah,18,3250
2004,Sarawak,21,3499
2004,Selangor,8,2706
2004,Terengganu,6,1292
2004,W.P. Kuala Lumpur,2,2483
2004,W.P. Labuan,1,109
2004,W.P. Putrajaya,1,272
2005,Johor,11,4068
2005,Kedah,9,2109
2005,Kelantan,9,1652
2005,Melaka,3,844
2005,Negeri Sembilan,5,1415
2005,Pahang,10,1703
2005,Perak,15,6065
2005,Perlis,1,404
2005,Pulau Pinang,6,1955
2005,Sabah,19,3494
2005,Sarawak,21,3513
2005,Selangor,9,3370
2005,Terengganu,6,1332
2005,W.P. Kuala Lumpur,2,2456
2005,W.P. Labuan,1,109
2005,W.P. Putrajaya,1,272
2006,Johor,12,4449
2006,Kedah,9,2109
2006,Kelantan,9,1652
2006,Melaka,3,900
2006,Negeri Sembilan,6,1523
2006,Pahang,10,1793
2006,Perak,15,6065
2006,Perlis,1,404
2006,Pulau Pinang,6,1930
2006,Sabah,22,3892
2006,Sarawak,21,3509
2006,Selangor,10,3359
2006,Terengganu,6,1332
2006,W.P. Kuala Lumpur,2,2441
2006,W.P. Labuan,1,109
2006,W.P. Putrajaya,1,272
2007,Johor,12,4917
2007,Kedah,9,2214
2007,Kelantan,9,1652
2007,Melaka,3,900
2007,Negeri Sembilan,6,1527
2007,Pahang,10,1841
2007,Perak,15,6070
2007,Perlis,1,404
2007,Pulau Pinang,6,1930
2007,Sabah,23,4053
2007,Sarawak,22,3863
2007,Selangor,10,3651
2007,Terengganu,6,1334
2007,W.P. Kuala Lumpur,2,2412
2007,W.P. Labuan,1,109
2007,W.P. Putrajaya,1,272
2008,Johor,12,4917
2008,Kedah,9,2183
2008,Kelantan,9,1652
2008,Melaka,3,928
2008,Negeri Sembilan,6,1527
2008,Pahang,10,1841
2008,Perak,15,6070
2008,Perlis,1,404
2008,Pulau Pinang,6,1930
2008,Sabah,22,4059
2008,Sarawak,22,3635
2008,Selangor,11,4577
2008,Terengganu,6,1364
2008,W.P. Kuala Lumpur,2,2368
2008,W.P. Labuan,1,109
2008,W.P. Putrajaya,1,272
2009,Johor,12,4917
2009,Kedah,9,2211
2009,Kelantan,9,1652
2009,Melaka,3,1006
2009,Negeri Sembilan,6,1527
2009,Pahang,10,1907
2009,Perak,15,6070
2009,Perlis,1,404
2009,Pulau Pinang,6,1930
2009,Sabah,22,4136
2009,Sarawak,22,3610
2009,Selangor,11,4595
2009,Terengganu,6,1372
2009,W.P. Kuala Lumpur,2,2339
2009,W.P. Labuan,1,109
2009,W.P. Putrajaya,1,272
2010,Johor,12,4917
2010,Kedah,9,2263
2010,Kelantan,9,1652
2010,Melaka,3,1006
2010,Negeri Sembilan,6,1527
2010,Pahang,10,1907
2010,Perak,15,5670
2010,Perlis,1,404
2010,Pulau Pinang,6,1930
2010,Sabah,23,4155
2010,Sarawak,22,3568
2010,Selangor,11,4688
2010,Terengganu,6,1372
2010,W.P. Kuala Lumpur,2,2347
2010,W.P. Labuan,1,109
2010,W.P. Putrajaya,1,278
2011,Johor,12,5010
2011,Kedah,9,2314
2011,Kelantan,10,2399
2011,Melaka,4,1150
2011,Negeri Sembilan,7,1563
2011,Pahang,10,1996
2011,Perak,16,5817
2011,Perlis,1,404
2011,Pulau Pinang,6,1930
2011,Sabah,24,4446
2011,Sarawak,22,3614
2011,Selangor,12,4885
2011,Terengganu,6,1372
2011,W.P. Kuala Lumpur,5,4429
2011,W.P. Labuan,1,109
2011,W.P. Putrajaya,1,278
2012,Johor,12,4766
2012,Kedah,9,2387
2012,Kelantan,10,2477
2012,Melaka,4,1290
2012,Negeri Sembilan,7,1563
2012,Pahang,10,2030
2012,Perak,16,5927
2012,Perlis,1,404
2012,Pulau Pinang,6,1947
2012,Sabah,24,4446
2012,Sarawak,22,3794
2012,Selangor,12,4822
2012,Terengganu,6,1372
2012,W.P. Kuala Lumpur,6,5032
2012,W.P. Labuan,1,109
2012,W.P. Putrajaya,1,341
2013,Johor,12,4968
2013,Kedah,9,2413
2013,Kelantan,10,2487
2013,Melaka,4,1339
2013,Negeri Sembilan,7,1563
2013,Pahang,10,2046
2013,Perak,16,5874
2013,Perlis,1,404
2013,Pulau Pinang,6,1947
2013,Sabah,25,4595
2013,Sarawak,22,3856
2013,Selangor,12,4824
2013,Terengganu,6,1372
2013,W.P. Kuala Lumpur,6,5047
2013,W.P. Labuan,1,109
2013,W.P. Putrajaya,2,593
2014,Johor,12,4968
2014,Kedah,9,2483
2014,Kelantan,10,2509
2014,Melaka,4,1389
2014,Negeri Sembilan,7,1774
2014,Pahang,11,2146
2014,Perak,16,5762
2014,Perlis,1,408
2014,Pulau Pinang,6,1947
2014,Sabah,25,4575
