Year,State,"No. of  Hospitals, Special Medical Institusions, Nursing and Maternity Homes",,,,,,,,,
2021,Johor,49,,,,,,,,,
2021,Kedah,18,,,,,,,,,
2021,Kelantan,15,,,,,,,,,
2021,Melaka,9,,,,,,,,,
2021,Negeri Sembilan,18,,,,,,,,,
2021,Pahang,20,,,,,,,,,
2021,Perak,37,,,,,,,,,
2021,Perlis,2,,,,,,,,,
2021,Pulau Pinang,24,,,,,,,,,
2021,Sabah,34,,,,,,,,,
2021,Sarawak,41,,,,,,,,,
2021,Selangor,83,,,,,,,,,
2021,Terengganu,10,,,,,,,,,
2021,W.P. Kuala Lumpur,49,,,,,,,,,
2021,W.P. Labuan,1,,,,,,,,,
2021,W.P. Putrajaya,4,,,,,,,,,
