Date,Value,Rate,Type
1/1/2000,537853,22.9,Birth
1/1/2001,505479,21,Birth
1/1/2002,494538,20.2,Birth
1/1/2003,481399,19.2,Birth
1/1/2004,481800,18.9,Birth
1/1/2005,474473,18.2,Birth
1/1/2006,472698,17.8,Birth
1/1/2007,479647,17.7,Birth
1/1/2008,493203,17.9,Birth
1/1/2009,501644,17.9,Birth
1/1/2010,491239,17.2,Birth
1/1/2011,511594,17.6,Birth
1/1/2012,526012,17.8,Birth
1/1/2013,503914,16.7,Birth
1/1/2014,528612,17.2,Birth
1/1/2015,521136,16.7,Birth
1/1/2016,508203,16.1,Birth
1/1/2017,508685,15.9,Birth
1/1/2018,501945,15.5,Birth
1/1/2019,489863,15.1,Birth
1/1/2020,471504,14.5,Birth
1/1/2021,439744,13.5,Birth
1/1/2022,423124,12.9,Birth
1/1/2023,455761,13.6,Birth
1/1/2000,100707,4.3,Death
1/1/2001,104531,4.3,Death
1/1/2002,110367,4.5,Death
1/1/2003,112744,4.5,Death
1/1/2004,113192,4.4,Death
1/1/2005,115436,4.4,Death
1/1/2006,117778,4.4,Death
1/1/2007,120670,4.5,Death
1/1/2008,127098,4.6,Death
1/1/2009,131328,4.7,Death
1/1/2010,130978,4.6,Death
1/1/2011,135463,4.7,Death
1/1/2012,138692,4.7,Death
1/1/2013,142202,4.7,Death
1/1/2014,150318,4.9,Death
1/1/2015,155786,5,Death
1/1/2016,162201,5.1,Death
1/1/2017,168168,5.3,Death
1/1/2018,172031,5.3,Death
1/1/2019,174254,5.4,Death
1/1/2020,167181,5.2,Death
1/1/2021,224931,6.9,Death
1/1/2022,206780,6.3,Death
1/1/2023,196965,5.9,Death
