state,Bed ratio to population of 100000,beds,Population
Johor,129839.4035,5433,"4,184.40"
Kedah,124577.1503,2762,"2,217.10"
Kelantan,157317.6545,2970,"1,887.90"
Melaka,138912.7735,1454,"1,046.70"
Negeri Sembilan,159499.7983,1977,"1,239.50"
Pahang,160760.3286,2681,"1,667.70"
Pulau Pinang,118744.7931,2138,"1,800.50"
Perak,229119.6388,5887,"2,569.40"
Perlis,171159.0296,508,296.8
Selangor,103766.2814,7640,"7,362.70"
Terengganu,140479.0905,1730,"1,231.50"
Sabah,135034.7408,5053,"3,742.00"
Sarawak,163614.6971,4119,"2,517.50"
W.P. Kuala Lumpur,235743.6518,4874,"2,067.50"
W.P. Labuan,121031.746,122,100.8
W.P. Putrajaya,529509.5594,637,120.3
