year,rank,cause,cause_short,percentage
2022,1,Pregnancy childbirth and the puerperium,Pregnancy & childbirth,16.27
2022,2,Diseases of the respiratory system,Respiratory,14.25
2022,3,Diseases of the circulatory system,Circulatory,8.45
2022,4,Certain infectious and parasitic diseases,Infectious & parasitic,7.85
2022,5,Certain conditions originating in the perinatal period,Perinatal conditions,7.24
2022,6,Injury poisoning and certain other consequences of external causes,Injury & poisoning,6.71
2022,7,Diseases of the digestive system,Digestive,6.12
2022,8,Neoplasms,Neoplasms,4.67
2022,9,Diseases of the genitourinary system,Genitourinary,4.59
2022,10,Codes for special purposes,Special/other codes,3.97
2023,1,Diseases of the respiratory system,Respiratory,16.76
2023,2,Pregnancy childbirth and the puerperium,Pregnancy & childbirth,14.86
2023,3,Certain infectious and parasitic diseases,Infectious & parasitic,9.51
2023,4,Diseases of the circulatory system,Circulatory,8.41
2023,5,Injury poisoning and certain other consequences of external causes,Injury & poisoning,6.95
2023,6,Certain conditions originating in the perinatal period,Perinatal conditions,6.75
2023,7,Diseases of the digestive system,Digestive,6.43
2023,8,Neoplasms,Neoplasms,4.87
2023,9,Diseases of the genitourinary system,Genitourinary,4.78
2023,10,Diseases of the musculoskeletal system and connective tissue,Musculoskeletal,3.28
2024,1,Diseases of the respiratory system,Respiratory,14.13
2024,2,Pregnancy childbirth or the puerperium,Pregnancy & childbirth,13.27
2024,3,Certain infectious or parasitic diseases,Infectious & parasitic,12.83
2024,4,Diseases of the circulatory system,Circulatory,7.25
2024,5,Injury poisoning or certain other consequences of external causes,Injury & poisoning,7.00
2024,6,Diseases of the digestive system,Digestive,6.67
2024,7,Certain conditions originating in the perinatal period,Perinatal conditions,6.44
2024,8,Neoplasms,Neoplasms,5.27
2024,9,Diseases of the genitourinary system,Genitourinary,5.07
2024,10,Symptoms signs or clinical findings not elsewhere classified,Symptoms & signs,3.71
